State,District,Name,Party,Office Room,Phone,Committee 1,Committee 2,Committee 3,Committee 4
B,Texas 26th,"Burgess, Michael",R,2161 RHOB,(202) 225-7772,Budget,Energy and Commerce,Rules,
B,Missouri 7th,"Burlison, Eric",R,1108 LHOB,(202) 225-6536,Education and the Workforce,Oversight and Accountability,Transportation and Infrastructure,
B,Missouri 1st,"Bush, Cori",D,2463 RHOB,(202) 225-2406,Oversight and Accountability,Judiciary,,
C,California 41st,"Calvert, Ken",R,2205 RHOB,(202) 225-1986,Appropriations,,,
C,Florida 3rd,"Cammack, Kat",R,2421 RHOB,(202) 225-5744,Agriculture,Select Subcommittee on the Weaponization of the Fed Govt,Energy and Commerce,
C,Colorado 8th,"Caraveo, Yadira",D,1024 LHOB,(202) 225-5625,Agriculture,"Science, Space, and Technology",,
C,California 24th,"Carbajal, Salud",D,2331 RHOB,(202) 225-3601,Agriculture,Armed Services,Transportation and Infrastructure,
C,California 29th,"Cardenas, Tony",D,2181 RHOB,(202) 225-6131,Energy and Commerce,,,
C,Ohio 15th,"Carey, Mike",R,1433 LHOB,(202) 225-2015,House Administration,Joint Committee of Congress on the Library,Ways and Means,
C,Alabama 1st,"Carl, Jerry",R,1330 LHOB,(202) 225-4931,Appropriations,Natural Resources,,
C,Indiana 7th,"Carson, Andre",D,2135 RHOB,(202) 225-4011,Intelligence,Transportation and Infrastructure,Select Comm on the Strategic Competition US and China,
C,Georgia 1st,"Carter, Earl",R,2432 RHOB,(202) 225-5831,Budget,Energy and Commerce,,
C,Texas 31st,"Carter, John",R,2208 RHOB,(202) 225-3864,Appropriations,,,
C,Louisiana 2nd,"Carter, Troy",D,442 CHOB,(202) 225-6636,Homeland Security,Transportation and Infrastructure,,
C,Pennsylvania 8th,"Cartwright, Matt",D,2102 RHOB,(202) 225-5546,Appropriations,,,
C,Texas 35th,"Casar, Greg",D,1339 LHOB,(202) 225-5645,Agriculture,Oversight and Accountability,,
C,Hawaii 1st,"Case, Ed",D,2210 RHOB,(202) 225-2726,Appropriations,Natural Resources,,
C,Illinois 6th,"Casten, Sean",D,2440 RHOB,(202) 225-4561,Financial Services,"Science, Space, and Technology",,
C,Florida 14th,"Castor, Kathy",D,2052 RHOB,(202) 225-3376,Energy and Commerce,Select Comm on the Strategic Competition US and China,,
C,Texas 20th,"Castro, Joaquin",D,2241 RHOB,(202) 225-3236,Foreign Affairs,Intelligence,,
C,Oregon 5th,"Chavez-DeRemer, Lori",R,1722 LHOB,(202) 225-5711,Agriculture,Education and the Workforce,Transportation and Infrastructure,
C,Florida 20th,"Cherfilus-McCormick, Sheila",D,242 CHOB,(202) 225-1313,Foreign Affairs,Veterans' Affairs,,
C,California 28th,"Chu, Judy",D,2423 RHOB,(202) 225-5464,Small Business,Ways and Means,,
C,Arizona 6th,"Ciscomani, Juan",R,1429 LHOB,(202) 225-2542,Appropriations,Veterans' Affairs,,
C,Massachusetts 5th,"Clark, Katherine",D,2368 RHOB,(202) 225-2836,,,,
C,New York 9th,"Clarke, Yvette",D,2058 RHOB,(202) 225-6231,Homeland Security,Energy and Commerce,,
C,Missouri 5th,"Cleaver, Emanuel",D,2217 RHOB,(202) 225-4535,Financial Services,,,
C,Virginia 6th,"Cline, Ben",R,2443 RHOB,(202) 225-5431,Appropriations,Budget,Judiciary,
C,Texas 27th,"Cloud, Michael",R,171 CHOB,(202) 225-7742,Appropriations,Oversight and Accountability,Select Subcommittee on the Coronavirus Pandemic,
C,South Carolina 6th,"Clyburn, James",D,274 CHOB,(202) 225-3315,,,,
C,Georgia 9th,"Clyde, Andrew",R,445 CHOB,(202) 225-9893,Appropriations,,,
C,Tennessee 9th,"Cohen, Steve",D,2268 RHOB,(202) 225-3265,Judiciary,Transportation and Infrastructure,,
C,Oklahoma 4th,"Cole, Tom",R,2207 RHOB,(202) 225-6165,Appropriations,Rules,,
C,Georgia 10th,"Collins, Mike",R,1223 LHOB,(202) 225-4101,Natural Resources,Transportation and Infrastructure,"Science, Space, and Technology",
C,Kentucky 1st,"Comer, James",R,2410 RHOB,(202) 225-3115,Education and the Workforce,Oversight and Accountability,,
C,Virginia 11th,"Connolly, Gerald",D,2265 RHOB,(202) 225-1492,Foreign Affairs,Select Subcommittee on the Weaponization of the Fed Govt,Oversight and Accountability,
C,California 46th,"Correa, J.",D,2301 RHOB,(202) 225-2965,Homeland Security,Judiciary,,
C,California 21st,"Costa, Jim",D,2081 RHOB,(202) 225-3341,Agriculture,Foreign Affairs,,
C,Connecticut 2nd,"Courtney, Joe",D,2449 RHOB,(202) 225-2076,Armed Services,Education and the Workforce,,
C,Minnesota 2nd,"Craig, Angie",D,2442 RHOB,(202) 225-2271,Agriculture,Energy and Commerce,,
C,Arizona 2nd,"Crane, Elijah",R,1229 LHOB,(202) 225-3361,Homeland Security,Small Business,Veterans' Affairs,
C,Arkansas 1st,"Crawford, Eric",R,2422 RHOB,(202) 225-4076,Agriculture,Intelligence,Transportation and Infrastructure,"Science, Space, and Technology"
C,Texas 2nd,"Crenshaw, Dan",R,248 CHOB,(202) 225-6565,Energy and Commerce,Intelligence,,
C,Texas 30th,"Crockett, Jasmine",D,1616 LHOB,(202) 225-8885,Agriculture,Oversight and Accountability,,
C,Colorado 6th,"Crow, Jason",D,1323 LHOB,(202) 225-7882,Foreign Affairs,Intelligence,,
C,Texas 28th,"Cuellar, Henry",D,2372 RHOB,(202) 225-1640,Appropriations,,,
C,Utah 3rd,"Curtis, John",R,2323 RHOB,(202) 225-7751,Energy and Commerce,Natural Resources,,
D,New York 4th,"D'Esposito, Anthony",R,1508 LHOB,(202) 225-5516,House Administration,Homeland Security,Transportation and Infrastructure,
D,Kansas 3rd,"Davids, Sharice",D,2435 RHOB,(202) 225-2865,Agriculture,Transportation and Infrastructure,Small Business,
D,Ohio 8th,"Davidson, Warren",R,2113 RHOB,(202) 225-6205,Financial Services,Foreign Affairs,Select Subcommittee on the Weaponization of the Fed Govt,
D,Illinois 7th,"Davis, Danny",D,2159 RHOB,(202) 225-5006,Ways and Means,,,
D,North Carolina 1st,"Davis, Donald",D,1123 LHOB,(202) 225-3101,Agriculture,Armed Services,,
D,Pennsylvania 4th,"Dean, Madeleine",D,150 CHOB,(202) 225-4731,Foreign Affairs,Judiciary,,
D,Colorado 1st,"DeGette, Diana",D,2111 RHOB,(202) 225-4431,Energy and Commerce,,,
D,Texas 15th,"De La Cruz, Monica",R,1415 LHOB,(202) 225-9901,Agriculture,Financial Services,,
D,Connecticut 3rd,"DeLauro, Rosa",D,2413 RHOB,(202) 225-3661,Appropriations,,,
D,Washington 1st,"DelBene, Suzan",D,2330 RHOB,(202) 225-6311,Ways and Means,,,
D,Pennsylvania 17th,"Deluzio, Christopher",D,1222 LHOB,(202) 225-2301,Armed Services,Veterans' Affairs,,
D,California 10th,"DeSaulnier, Mark",D,503 CHOB,(202) 225-2095,Education and the Workforce,Transportation and Infrastructure,Ethics,
D,Tennessee 4th,"DesJarlais, Scott",R,2304 RHOB,(202) 225-6831,Agriculture,Armed Services,,
D,Florida 26th,"Diaz-Balart, Mario",R,374 CHOB,(202) 225-4211,Appropriations,,,
D,Michigan 6th,"Dingell, Debbie",D,102 CHOB,(202) 225-4071,Energy and Commerce,Natural Resources,Select Subcommittee on the Coronavirus Pandemic,
D,Texas 37th,"Doggett, Lloyd",D,2307 RHOB,(202) 225-4865,Budget,Joint Committee on Taxation,Ways and Means,
D,Florida 19th,"Donalds, Byron",R,1719 LHOB,(202) 225-2536,Financial Services,Oversight and Accountability,,
D,California 13th,"Duarte, John",R,1535 LHOB,(202) 225-1947,Agriculture,Natural Resources,Transportation and Infrastructure,
D,South Carolina 3rd,"Duncan, Jeff",R,2229 RHOB,(202) 225-5301,Energy and Commerce,,,
D,Florida 2nd,"Dunn, Neal",R,466 CHOB,(202) 225-5235,Energy and Commerce,Select Comm on the Strategic Competition US and China,,
E,North Carolina 11th,"Edwards, Chuck",R,1505 LHOB,(202) 225-6401,Appropriations,Budget,,
E,Texas 6th,"Ellzey, Jake",R,1721 LHOB,(202) 225-2002,Appropriations,Small Business,,
E,Minnesota 6th,"Emmer, Tom",R,464 CHOB,(202) 225-2331,Financial Services,,,
E,Texas 16th,"Escobar, Veronica",D,2448 RHOB,(202) 225-4831,Armed Services,Judiciary,Ethics,
E,California 16th,"Eshoo, Anna",D,272 CHOB,(202) 225-8104,Energy and Commerce,,,
E,New York 13th,"Espaillat, Adriano",D,2332 RHOB,(202) 225-4365,Appropriations,Budget,,
E,Kansas 4th,"Estes, Ron",R,2234 RHOB,(202) 225-6216,Budget,Education and the Workforce,Ways and Means,
E,Pennsylvania 3rd,"Evans, Dwight",D,1105 LHOB,(202) 225-4001,Ways and Means,,,
E,Mississippi 4th,"Ezell, Mike",R,443 CHOB,(202) 225-5772,Homeland Security,Transportation and Infrastructure,,
F,Texas 4th,"Fallon, Pat",R,2416 RHOB,(202) 225-6673,Armed Services,Oversight and Accountability,,
F,Iowa 4th,"Feenstra, Randy",R,1440 LHOB,(202) 225-4426,Agriculture,Ways and Means,,
F,Georgia 3rd,"Ferguson, A.",R,2239 RHOB,(202) 225-5901,Budget,Ways and Means,,
F,Minnesota 1st,"Finstad, Brad",R,1605 LHOB,(202) 225-2472,Agriculture,Armed Services,,
F,Minnesota 7th,"Fischbach, Michelle",R,1004 LHOB,(202) 225-2165,Budget,Rules,Ethics,Ways and Means
F,Wisconsin 5th,"Fitzgerald, Scott",R,1507 LHOB,(202) 225-5101,Financial Services,Judiciary,,
F,Pennsylvania 1st,"Fitzpatrick, Brian",R,271 CHOB,(202) 225-4276,Intelligence,Ways and Means,,
F,Tennessee 3rd,"Fleischmann, Charles",R,2187 RHOB,(202) 225-3271,Appropriations,"Science, Space, and Technology",,
F,Texas 7th,"Fletcher, Lizzie",D,346 CHOB,(202) 225-2571,Energy and Commerce,,,
F,Nebraska 1st,"Flood, Mike",R,343 CHOB,(202) 225-4806,Financial Services,,,
F,Illinois 11th,"Foster, Bill",D,2366 RHOB,(202) 225-3515,Financial Services,,,
F,North Carolina 4th,"Foushee, Valerie",D,1716 LHOB,(202) 225-1784,Transportation and Infrastructure,"Science, Space, and Technology",,
F,North Carolina 5th,"Foxx, Virginia",R,2462 RHOB,(202) 225-2071,Education and the Workforce,Oversight and Accountability,,
F,Florida 22nd,"Frankel, Lois",D,2305 RHOB,(202) 225-9890,Appropriations,,,
F,Florida 18th,"Franklin, Scott",R,249 CHOB,(202) 225-1252,Appropriations,"Science, Space, and Technology",Veterans' Affairs,
F,Florida 10th,"Frost, Maxwell",D,1224 LHOB,(202) 225-2176,Oversight and Accountability,"Science, Space, and Technology",,
F,South Carolina 7th,"Fry, Russell",R,1626 LHOB,(202) 225-9895,Select Subcommittee on the Weaponization of the Fed Govt,Oversight and Accountability,Judiciary,
F,Idaho 1st,"Fulcher, Russ",R,1514 LHOB,(202) 225-6611,Energy and Commerce,Natural Resources,,
G,Florida 1st,"Gaetz, Matt",R,2021 RHOB,(202) 225-4136,Armed Services,Select Subcommittee on the Weaponization of the Fed Govt,Judiciary,
G,Wisconsin 8th,"Gallagher, Mike",R,1211 LHOB,(202) 225-5665,Armed Services,Intelligence,Select Comm on the Strategic Competition US and China,
G,Arizona 3rd,"Gallego, Ruben",D,1114 LHOB,(202) 225-4065,Armed Services,Natural Resources,,
G,California 8th,"Garamendi, John",D,2004 RHOB,(202) 225-1880,Armed Services,Select Subcommittee on the Weaponization of the Fed Govt,Transportation and Infrastructure,
G,New York 2nd,"Garbarino, Andrew",R,2344 RHOB,(202) 225-7896,Financial Services,Homeland Security,Ethics,
G,Illinois 4th,"Garcia, Jesus",D,1519 LHOB,(202) 225-8203,Transportation and Infrastructure,,,
G,California 27th,"Garcia, Mike",R,144 CHOB,(202) 225-1956,Appropriations,Intelligence,"Science, Space, and Technology",
G,California 42nd,"Garcia, Robert",D,1305 LHOB,(202) 225-7924,Oversight and Accountability,Homeland Security,Select Subcommittee on the Coronavirus Pandemic,
G,Texas 29th,"Garcia, Sylvia",D,2419 RHOB,(202) 225-1688,Financial Services,Select Subcommittee on the Weaponization of the Fed Govt,,
G,Florida 28th,"Gimenez, Carlos",R,448 CHOB,(202) 225-2778,Armed Services,Homeland Security,Select Comm on the Strategic Competition US and China,
G,Maine 2nd,"Golden, Jared",D,1710 LHOB,(202) 225-6306,Armed Services,Small Business,,
G,New York 10th,"Goldman, Daniel",D,245 CHOB,(202) 225-7944,Select Subcommittee on the Weaponization of the Fed Govt,Oversight and Accountability,Homeland Security,
G,California 34th,"Gomez, Jimmy",D,506 CHOB,(202) 225-6235,Intelligence,Ways and Means,,
G,Texas 23rd,"Gonzales, Tony",R,2244 RHOB,(202) 225-4511,Appropriations,Homeland Security,,
G,Texas 34th,"Gonzalez, Vicente",D,154 CHOB,(202) 225-2531,Financial Services,,,
G,Puerto Rico Resident Commissioner,"Gonzalez-Colon, Jenniffer",R,2338 RHOB,(202) 225-2615,Natural Resources,Transportation and Infrastructure,,
G,Virginia 5th,"Good, Bob",R,461 CHOB,(202) 225-4711,Budget,Education and the Workforce,,
G,Texas 5th,"Gooden, Lance",R,2431 RHOB,(202) 225-3484,Armed Services,Judiciary,,
G,Arizona 9th,"Gosar, Paul",R,2057 RHOB,(202) 225-2315,Oversight and Accountability,Natural Resources,,
G,New Jersey 5th,"Gottheimer, Josh",D,203 CHOB,(202) 225-4465,Financial Services,Intelligence,,
G,Texas 12th,"Granger, Kay",R,2308 RHOB,(202) 225-5071,Appropriations,,,
G,Louisiana 6th,"Graves, Garret",R,2402 RHOB,(202) 225-3901,Natural Resources,Transportation and Infrastructure,,
G,Missouri 6th,"Graves, Sam",R,1135 LHOB,(202) 225-7041,Armed Services,Transportation and Infrastructure,,
G,Texas 9th,"Green, Al",D,2347 RHOB,(202) 225-7508,Financial Services,,,
G,Tennessee 7th,"Green, Mark",R,2446 RHOB,(202) 225-2811,Foreign Affairs,Homeland Security,,
G,Georgia 14th,"Greene, Marjorie",R,403 CHOB,(202) 225-5211,Oversight and Accountability,Homeland Security,Select Subcommittee on the Coronavirus Pandemic,
G,Virginia 9th,"Griffith, H.",R,2202 RHOB,(202) 225-3861,House Administration,Energy and Commerce,,
G,Arizona 7th,"Grijalva, Raul",D,1203 LHOB,(202) 225-2435,Education and the Workforce,Natural Resources,,
G,Wisconsin 6th,"Grothman, Glenn",R,1511 LHOB,(202) 225-2476,Budget,Education and the Workforce,Oversight and Accountability,
G,Mississippi 3rd,"Guest, Michael",R,450 CHOB,(202) 225-5031,Appropriations,Homeland Security,Ethics,
G,Kentucky 2nd,"Guthrie, Brett",R,2434 RHOB,(202) 225-3501,Energy and Commerce,,,
H,Wyoming At Large,"Hageman, Harriet",R,1531 LHOB,(202) 225-2311,Select Subcommittee on the Weaponization of the Fed Govt,Natural Resources,Judiciary,
H,California 9th,"Harder, Josh",D,209 CHOB,(202) 225-4540,Appropriations,,,
H,Maryland 1st,"Harris, Andy",R,1536 LHOB,(202) 225-5311,Appropriations,,,
H,Tennessee 1st,"Harshbarger, Diana",R,167 CHOB,(202) 225-6356,Energy and Commerce,,,
H,Connecticut 5th,"Hayes, Jahana",D,2458 RHOB,(202) 225-4476,Agriculture,Education and the Workforce,,
H,Oklahoma 1st,"Hern, Kevin",R,1019 LHOB,(202) 225-2211,Ways and Means,,,
H,New York 26th,"Higgins, Brian- Vacancy",,2269 RHOB,(202) 225-3306,,,,
H,Louisiana 3rd,"Higgins, Clay",R,572 CHOB,(202) 225-2031,Oversight and Accountability,Homeland Security,,
H,Arkansas 2nd,"Hill, J.",R,1533 LHOB,(202) 225-2506,Financial Services,Foreign Affairs,Intelligence,
H,Connecticut 4th,"Himes, James",D,2137 RHOB,(202) 225-5541,Financial Services,Intelligence,,
H,Iowa 2nd,"Hinson, Ashley",R,1717 LHOB,(202) 225-2911,Appropriations,Select Comm on the Strategic Competition US and China,,
H,Nevada 4th,"Horsford, Steven",D,406 CHOB,(202) 225-9894,Armed Services,Financial Services,,
H,Indiana 9th,"Houchin, Erin",R,1632 LHOB,(202) 225-5315,Financial Services,Education and the Workforce,Rules,
H,Pennsylvania 6th,"Houlahan, Chrissy",D,1727 LHOB,(202) 225-4315,Armed Services,Intelligence,,
H,Maryland 5th,"Hoyer, Steny",D,1705 LHOB,(202) 225-4131,Appropriations,,,
H,Oregon 4th,"Hoyle, Val",D,1620 LHOB,(202) 225-6416,Natural Resources,Transportation and Infrastructure,,
H,North Carolina 9th,"Hudson, Richard",R,2112 RHOB,(202) 225-3715,Energy and Commerce,,,
H,California 2nd,"Huffman, Jared",D,2445 RHOB,(202) 225-5161,Natural Resources,Transportation and Infrastructure,,
H,Michigan 4th,"Huizenga, Bill",R,2232 RHOB,(202) 225-4401,Financial Services,Foreign Affairs,,
H,Texas 38th,"Hunt, Wesley",R,1520 LHOB,(202) 225-5646,Natural Resources,Judiciary,Small Business,
I,California 48th,"Issa, Darrell",R,2108 RHOB,(202) 225-5672,Foreign Affairs,Select Subcommittee on the Weaponization of the Fed Govt,Judiciary,"Science, Space, and Technology"
I,Maryland 4th,"Ivey, Glenn",D,1529 LHOB,(202) 225-8699,Homeland Security,Judiciary,Ethics,
J,North Carolina 14th,"Jackson, Jeff",D,1318 LHOB,(202) 225-5634,Armed Services,"Science, Space, and Technology",,
J,Illinois 1st,"Jackson, Jonathan",D,1641 LHOB,(202) 225-4372,Agriculture,Foreign Affairs,,
J,Texas 13th,"Jackson, Ronny",R,446 CHOB,(202) 225-3706,Agriculture,Armed Services,Foreign Affairs,Select Subcommittee on the Coronavirus Pandemic
J,Texas 18th,"Jackson Lee, Sheila",D,2314 RHOB,(202) 225-3816,Budget,Homeland Security,Judiciary,
J,California 51st,"Jacobs, Sara",D,1314 LHOB,(202) 225-2040,Armed Services,Foreign Affairs,,
J,Michigan 10th,"James, John",R,1319 LHOB,(202) 225-4961,Education and the Workforce,Foreign Affairs,Transportation and Infrastructure,
J,Washington 7th,"Jayapal, Pramila",D,2346 RHOB,(202) 225-3106,Education and the Workforce,Judiciary,,
J,New York 8th,"Jeffries, Hakeem",D,2433 RHOB,(202) 225-5936,,,,
J,Ohio 6th,"Johnson, Bill- Vacancy",,2082 RHOB,(202) 225-5705,,,,
J,South Dakota At Large,"Johnson, Dusty",R,1714 LHOB,(202) 225-2801,Agriculture,Transportation and Infrastructure,Select Comm on the Strategic Competition US and China,
J,Georgia 4th,"Johnson, Henry",D,2240 RHOB,(202) 225-1605,Judiciary,Transportation and Infrastructure,,
J,Louisiana 4th,"Johnson, Mike",R,568 CHOB,(202) 225-2777,,,,
J,Ohio 4th,"Jordan, Jim",R,2056 RHOB,(202) 225-2676,Select Subcommittee on the Weaponization of the Fed Govt,Oversight and Accountability,Judiciary,
J,Ohio 14th,"Joyce, David",R,2065 RHOB,(202) 225-5731,Appropriations,Ethics,,
J,Pennsylvania 13th,"Joyce, John",R,152 CHOB,(202) 225-2431,Energy and Commerce,Select Subcommittee on the Coronavirus Pandemic,,
K,California 37th,"Kamlager-Dove, Sydney",D,1419 LHOB,(202) 225-7084,Foreign Affairs,Natural Resources,,
K,Ohio 9th,"Kaptur, Marcy",D,2186 RHOB,(202) 225-4146,Appropriations,,,
K,New Jersey 7th,"Kean, Thomas",R,251 CHOB,(202) 225-5361,Foreign Affairs,Transportation and Infrastructure,"Science, Space, and Technology",
K,Massachusetts 9th,"Keating, William",D,2351 RHOB,(202) 225-3111,Armed Services,Foreign Affairs,,
K,Pennsylvania 16th,"Kelly, Mike",R,1707 LHOB,(202) 225-5406,Ways and Means,,,
K,Illinois 2nd,"Kelly, Robin",D,2329 RHOB,(202) 225-0773,Energy and Commerce,,,
K,Mississippi 1st,"Kelly, Trent",R,2243 RHOB,(202) 225-4306,Agriculture,Armed Services,Intelligence,
K,California 17th,"Khanna, Ro",D,306 CHOB,(202) 225-2631,Armed Services,Oversight and Accountability,Select Comm on the Strategic Competition US and China,
K,Virginia 2nd,"Kiggans, Jennifer",R,1037 LHOB,(202) 225-4215,Armed Services,Natural Resources,Veterans' Affairs,
K,Michigan 8th,"Kildee, Daniel",D,200 CHOB,(202) 225-3611,Budget,Ways and Means,,
K,California 3rd,"Kiley, Kevin",R,1032 LHOB,(202) 225-2523,Education and the Workforce,Judiciary,,
K,Washington 6th,"Kilmer, Derek",D,1226 LHOB,(202) 225-5916,Appropriations,House Administration,,
K,New Jersey 3rd,"Kim, Andy",D,2444 RHOB,(202) 225-4765,Armed Services,Foreign Affairs,Select Comm on the Strategic Competition US and China,
K,California 40th,"Kim, Young",R,1306 LHOB,(202) 225-4111,Financial Services,Foreign Affairs,,
K,Illinois 8th,"Krishnamoorthi, Raja",D,2367 RHOB,(202) 225-3711,Oversight and Accountability,Intelligence,Select Comm on the Strategic Competition US and China,
K,New Hampshire 2nd,"Kuster, Ann",D,2201 RHOB,(202) 225-5206,Energy and Commerce,,,
K,Tennessee 8th,"Kustoff, David",R,560 CHOB,(202) 225-4714,Ways and Means,,,
L,Illinois 16th,"LaHood, Darin",R,1424 LHOB,(202) 225-6201,Intelligence,Ways and Means,Select Comm on the Strategic Competition US and China,
L,New York 1st,"LaLota, Nick",R,1530 LHOB,(202) 225-3826,Armed Services,Homeland Security,Small Business,
L,California 1st,"LaMalfa, Doug",R,408 CHOB,(202) 225-3076,Agriculture,Natural Resources,Transportation and Infrastructure,
L,Colorado 5th,"Lamborn, Doug",R,2371 RHOB,(202) 225-4422,Armed Services,Natural Resources,,
L,Ohio 1st,"Landsman, Greg",D,1432 LHOB,(202) 225-2216,Small Business,Veterans' Affairs,,
L,New York 23rd,"Langworthy, Nicholas",R,1630 LHOB,(202) 225-3161,Agriculture,Oversight and Accountability,Rules,
L,Washington 2nd,"Larsen, Rick",D,2163 RHOB,(202) 225-2605,Transportation and Infrastructure,,,
L,Connecticut 1st,"Larson, John",D,1501 LHOB,(202) 225-2265,Ways and Means,,,
L,Ohio 5th,"Latta, Robert",R,2467 RHOB,(202) 225-6405,Energy and Commerce,,,
L,Kansas 2nd,"LaTurner, Jake",R,2441 RHOB,(202) 225-6601,Appropriations,Oversight and Accountability,,
L,New York 17th,"Lawler, Michael",R,1013 LHOB,(202) 225-6506,Financial Services,Foreign Affairs,,
L,California 12th,"Lee, Barbara",D,2470 RHOB,(202) 225-2661,Appropriations,Budget,,
L,Florida 15th,"Lee, Laurel",R,1118 LHOB,(202) 225-5626,House Administration,Homeland Security,Judiciary,
L,Pennsylvania 12th,"Lee, Summer",D,243 CHOB,(202) 225-2135,Oversight and Accountability,"Science, Space, and Technology",,
L,Nevada 3rd,"Lee, Susie",D,365 CHOB,(202) 225-3252,Appropriations,Natural Resources,,
L,New Mexico 3rd,"Leger Fernandez, Teresa",D,1510 LHOB,(202) 225-6190,Education and the Workforce,Natural Resources,Rules,
L,Arizona 8th,"Lesko, Debbie",R,1214 LHOB,(202) 225-4576,Energy and Commerce,Select Subcommittee on the Coronavirus Pandemic,,
L,Louisiana 5th,"Letlow, Julia",R,142 CHOB,(202) 225-8490,Appropriations,Education and the Workforce,,
L,California 49th,"Levin, Mike",D,2352 RHOB,(202) 225-3906,Natural Resources,Veterans' Affairs,,
L,California 36th,"Lieu, Ted",D,2454 RHOB,(202) 225-3976,Foreign Affairs,Judiciary,,
L,California 18th,"Lofgren, Zoe",D,1401 LHOB,(202) 225-3072,Judiciary,"Science, Space, and Technology",,
L,Georgia 11th,"Loudermilk, Barry",R,2133 RHOB,(202) 225-2931,Financial Services,House Administration,,
L,Oklahoma 3rd,"Lucas, Frank",R,2405 RHOB,(202) 225-5565,Agriculture,Financial Services,"Science, Space, and Technology",
L,Missouri 3rd,"Luetkemeyer, Blaine",R,2230 RHOB,(202) 225-2956,Financial Services,Small Business,Select Comm on the Strategic Competition US and China,
L,Florida 13th,"Luna, Anna Paulina",R,1017 LHOB,(202) 225-5961,Oversight and Accountability,Natural Resources,,
L,Texas 8th,"Luttrell, Morgan",R,1320 LHOB,(202) 225-4901,Armed Services,Homeland Security,Veterans' Affairs,
L,Massachusetts 8th,"Lynch, Stephen",D,2109 RHOB,(202) 225-8273,Financial Services,Select Subcommittee on the Weaponization of the Fed Govt,Oversight and Accountability,
M,South Carolina 1st,"Mace, Nancy",R,1728 LHOB,(202) 225-3176,Armed Services,Oversight and Accountability,Veterans' Affairs,
M,Rhode Island 2nd,"Magaziner, Seth",D,1218 LHOB,(202) 225-2735,Homeland Security,Natural Resources,,
M,New York 11th,"Malliotakis, Nicole",R,351 CHOB,(202) 225-3371,Select Subcommittee on the Coronavirus Pandemic,Ways and Means,,
M,Utah 2nd,"Maloy, Celeste",R,166 CHOB,(202) 225-9730,Transportation and Infrastructure,Small Business,,
M,Kansas 1st,"Mann, Tracey",R,344 CHOB,(202) 225-2715,Agriculture,Transportation and Infrastructure,Small Business,
M,North Carolina 6th,"Manning, Kathy",D,307 CHOB,(202) 225-3065,Education and the Workforce,Foreign Affairs,,
M,Kentucky 4th,"Massie, Thomas",R,2453 RHOB,(202) 225-3465,Select Subcommittee on the Weaponization of the Fed Govt,Judiciary,Transportation and Infrastructure,Rules
M,Florida 21st,"Mast, Brian",R,2182 RHOB,(202) 225-3026,Foreign Affairs,Transportation and Infrastructure,,
M,California 7th,"Matsui, Doris",D,2311 RHOB,(202) 225-7163,Energy and Commerce,,,
M,Georgia 7th,"McBath, Lucy",D,2246 RHOB,(202) 225-4501,Education and the Workforce,Judiciary,,
M,California 20th,"McCarthy, Kevin- Vacancy",,2468 RHOB,(202) 225-2915,,,,
M,Texas 10th,"McCaul, Michael",R,2300 RHOB,(202) 225-2401,Foreign Affairs,Homeland Security,,
M,Michigan 9th,"McClain, Lisa",R,444 CHOB,(202) 225-2106,Armed Services,Budget,Education and the Workforce,Oversight and Accountability
M,Virginia 4th,"McClellan, Jennifer",D,2417 RHOB,(202) 225-6365,Armed Services,"Science, Space, and Technology",,
M,California 5th,"McClintock, Tom",R,2256 RHOB,(202) 225-2511,Budget,Natural Resources,Judiciary,
M,Minnesota 4th,"McCollum, Betty",D,2426 RHOB,(202) 225-6631,Appropriations,,,
M,Georgia 6th,"McCormick, Richard",R,1213 LHOB,(202) 225-4272,Armed Services,Foreign Affairs,"Science, Space, and Technology",Select Subcommittee on the Coronavirus Pandemic
M,Kentucky 3rd,"McGarvey, Morgan",D,1527 LHOB,(202) 225-5401,Small Business,Veterans' Affairs,,
M,Massachusetts 2nd,"McGovern, James",D,370 CHOB,(202) 225-6101,Agriculture,Rules,,
M,North Carolina 10th,"McHenry, Patrick",R,2134 RHOB,(202) 225-2576,Financial Services,,,
M,New York 5th,"Meeks, Gregory",D,2310 RHOB,(202) 225-3461,Financial Services,Foreign Affairs,,
M,New Jersey 8th,"Menendez, Robert",D,1007 LHOB,(202) 225-7919,Homeland Security,Transportation and Infrastructure,,
M,New York 6th,"Meng, Grace",D,2209 RHOB,(202) 225-2601,Appropriations,,,
M,Pennsylvania 9th,"Meuser, Daniel",R,350 CHOB,(202) 225-6511,Financial Services,Small Business,,
M,Maryland 7th,"Mfume, Kweisi",D,2263 RHOB,(202) 225-4741,Oversight and Accountability,Small Business,Select Subcommittee on the Coronavirus Pandemic,
M,West Virginia 1st,"Miller, Carol",R,465 CHOB,(202) 225-3452,Ways and Means,,,
M,Illinois 15th,"Miller, Mary",R,1740 LHOB,(202) 225-5271,Agriculture,Education and the Workforce,,
M,Ohio 7th,"Miller, Max",R,143 CHOB,(202) 225-3876,Agriculture,"Science, Space, and Technology",,
M,Iowa 1st,"Miller-Meeks, Mariannette",R,1034 LHOB,(202) 225-6576,Energy and Commerce,Select Subcommittee on the Coronavirus Pandemic,Veterans' Affairs,
M,Florida 7th,"Mills, Cory",R,1237 LHOB,(202) 225-4035,Armed Services,Foreign Affairs,,
